Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,alt contribution,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_2 contribution,bio_3 contribution,bio_4 contribution,bio_9 contribution,alt permutation importance,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_2 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_9 permutation importance,Training gain without alt,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_2,Training gain without bio_3,Training gain without bio_4,Training gain without bio_9,Training gain with only alt,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_2,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_9,Test gain without alt,Test gain without bio_1,Test gain without bio_12,Test gain without bio_14,Test gain without bio_15,Test gain without bio_2,Test gain without bio_3,Test gain without bio_4,Test gain without bio_9,Test gain with only alt,Test gain with only bio_1,Test gain with only bio_12,Test gain with only bio_14,Test gain with only bio_15,Test gain with only bio_2,Test gain with only bio_3,Test gain with only bio_4,Test gain with only bio_9,AUC without alt,AUC without bio_1,AUC without bio_12,AUC without bio_14,AUC without bio_15,AUC without bio_2,AUC without bio_3,AUC without bio_4,AUC without bio_9,AUC with only alt,AUC with only bio_1,AUC with only bio_12,AUC with only bio_14,AUC with only bio_15,AUC with only bio_2,AUC with only bio_3,AUC with only bio_4,AUC with only bio_9,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Netta_rufina_0,171,0.4187,0.538,740,0.7827,57,0.3163,0.7297,0.0309,10171,27.1885,14.3014,3.374,11.335,2.8091,7.924,19.2261,11.6595,2.1824,6.2545,32.271,9.2326,7.6282,2.2191,7.5326,7.6389,25.3007,1.9224,0.4059,0.3781,0.4061,0.4058,0.4061,0.3901,0.4097,0.4017,0.4135,0.1265,0.1199,0.0694,0.073,0.1372,0.0787,0.2054,0.175,0.0879,0.3039,0.3132,0.3529,0.2859,0.2824,0.29,0.3147,0.33,0.3082,0.0392,0.0312,0.039,0.0646,0.1244,0.1132,0.236,0.2363,0.0546,0.7283,0.7313,0.732,0.7211,0.7238,0.7234,0.7268,0.7288,0.7269,0.617,0.5695,0.5675,0.5903,0.6563,0.6233,0.6807,0.7076,0.6247,8.8097,0.4005,1,0.0658,0.8212,0,0.0351,2.31E-03,5,0.2351,0.6419,0.0292,0.0877,1.03E-05,10,0.3616,0.5506,0.0526,0.1404,1.36E-06,1.1171,0.0709,0.8102,0,0.0351,1.45E-03,13.8918,0.4157,0.4988,0.0994,0.1754,4.34E-07,35.2279,0.5896,0.3005,0.2982,0.3684,2.48E-08,29.0096,0.5499,0.349,0.2339,0.2982,1.16E-08,31.852,0.567,0.3262,0.2632,0.3333,2.10E-08,24.6346,0.5179,0.3868,0.2164,0.2456,6.04E-09,1.695,0.0962,0.766,0.0058,0.0351,1.95E-04,4.3603,0.2141,0.6585,0.0292,0.0877,2.67E-05
Netta_rufina_1,171,0.3825,0.513,860,0.7769,57,0.4706,0.7632,0.0249,10171,17.8349,8.2983,4.5586,13.2046,3.6209,7.1915,4.0298,37.3068,3.9546,6.8863,10.3923,3.6041,11.7112,5.7086,9.7857,15.9972,28.2486,7.666,0.3768,0.3531,0.3798,0.3561,0.3636,0.3564,0.3714,0.3701,0.3723,0.1003,0.0847,0.0396,0.0671,0.1091,0.087,0.191,0.1801,0.0563,0.4601,0.4288,0.4585,0.4637,0.4538,0.4492,0.4674,0.4706,0.4734,0.1115,0.1435,0.118,0.0814,0.2178,0.0868,0.2692,0.2199,0.1412,0.7593,0.7535,0.7602,0.7612,0.7589,0.755,0.7626,0.7649,0.7645,0.6157,0.6043,0.6677,0.6143,0.6998,0.6026,0.6755,0.6889,0.6642,8.8455,0.4153,1,0.0759,0.8464,0.0058,0,6.50E-04,5,0.2364,0.672,0.0468,0.0175,2.98E-07,10,0.3602,0.5761,0.076,0.0702,3.27E-08,0.9848,0.0752,0.8477,0,0,6.87E-04,13.3417,0.4086,0.5293,0.0994,0.0877,3.48E-09,36.0656,0.5853,0.3068,0.3041,0.3158,3.21E-10,51.282,0.6763,0.2021,0.3801,0.4561,6.63E-11,34.9236,0.5779,0.3158,0.2924,0.3158,1.09E-09,16.7465,0.4447,0.4876,0.1287,0.1053,3.87E-10,2.1338,0.1261,0.7725,0.0058,0,2.09E-05,4.5963,0.2247,0.6825,0.0468,0.0175,5.74E-07
Netta_rufina_2,171,0.4517,0.5987,920,0.7977,57,0.2398,0.7008,0.0299,10171,20.2878,7.3523,0.8679,15.9729,5.0601,6.8948,28.1374,10.068,5.3589,11.4715,14.3953,3.7001,9.2251,5.9765,10.1073,14.021,25.8924,5.2109,0.44,0.4196,0.4451,0.4287,0.4187,0.4233,0.44,0.4407,0.4406,0.1077,0.0857,0.0489,0.0883,0.1424,0.0691,0.2238,0.1769,0.0725,0.2379,0.2176,0.2305,0.2428,0.2756,0.2325,0.2417,0.2419,0.2418,0.1034,0.1416,0.0992,0.0093,0.1168,0.1361,0.1714,0.2158,0.1128,0.6977,0.6938,0.6972,0.6985,0.7139,0.6943,0.7014,0.6978,0.6989,0.5942,0.6056,0.6276,0.5697,0.637,0.6353,0.6526,0.6459,0.6447,8.7765,0.3856,1,0.0723,0.8144,0,0.0351,1.73E-03,5,0.2249,0.6443,0.0292,0.0702,3.35E-06,10,0.3291,0.5474,0.0585,0.1228,2.84E-07,1.3061,0.0885,0.7912,0,0.0526,1.86E-03,12.7611,0.3645,0.5061,0.0994,0.1754,7.61E-07,35.2999,0.5822,0.2807,0.2807,0.4737,1.84E-05,27.4176,0.5152,0.3436,0.193,0.4211,9.17E-05,24.2067,0.4828,0.3732,0.1871,0.3684,2.75E-05,8.6963,0.3084,0.569,0.0526,0.0877,8.30E-08,1.3061,0.0885,0.7912,0,0.0526,1.86E-03,5.2954,0.2337,0.6371,0.0351,0.0702,2.15E-06
Netta_rufina_3,171,0.4356,0.5898,900,0.7929,57,0.2932,0.7195,0.0287,10171,18.3588,10.4629,0.2516,15.6295,12.7835,7.4015,1.9627,29.3398,3.8097,7.5792,15.119,1.6485,8.9312,5.2125,10.8538,16.5857,30.8953,3.1748,0.4224,0.3984,0.4322,0.4091,0.416,0.4067,0.4248,0.421,0.4258,0.1121,0.1097,0.0534,0.1063,0.1756,0.0946,0.2268,0.1872,0.0832,0.291,0.2761,0.2866,0.3082,0.2695,0.284,0.2748,0.3001,0.2883,0.0936,0.062,0.0844,-0.064,0.01,0.061,0.1664,0.1962,0.0943,0.7089,0.7081,0.7174,0.7133,0.7168,0.7172,0.7135,0.7187,0.7179,0.6132,0.5402,0.6114,0.5271,0.591,0.6008,0.6345,0.6965,0.6202,8.7915,0.3917,1,0.072,0.8268,0.0058,0.0175,9.48E-04,5,0.2182,0.6528,0.0292,0.0526,1.50E-06,10,0.3283,0.5527,0.0643,0.1228,4.19E-07,0.902,0.0671,0.8355,0,0.0175,1.38E-03,14.5655,0.3943,0.4871,0.0994,0.2105,2.47E-06,35.5563,0.5716,0.2865,0.2865,0.4211,5.21E-07,36.9039,0.5825,0.2763,0.2865,0.4386,7.39E-07,27.6485,0.5253,0.3509,0.2281,0.3509,1.19E-06,9.8666,0.3263,0.5549,0.0643,0.0877,2.83E-08,2.5786,0.1376,0.7322,0.0058,0.0351,3.63E-05,5.2361,0.225,0.6467,0.0292,0.0526,1.03E-06
Netta_rufina_4,171,0.4538,0.6048,860,0.7981,57,0.2326,0.7123,0.0329,10171,22.5374,11.5359,0.838,12.8805,2.7936,6.4911,12.4372,27.6225,2.864,4.0867,21.4622,4.5321,9.8739,4.586,8.3101,15.2274,24.5151,7.4065,0.4456,0.4148,0.4488,0.4317,0.4365,0.4312,0.4453,0.438,0.4422,0.11,0.1141,0.0495,0.0727,0.1205,0.0757,0.2413,0.2233,0.077,0.2189,0.2322,0.2205,0.2286,0.2088,0.1855,0.2171,0.2357,0.2404,0.1015,0.0575,0.0951,0.0605,0.1863,0.1145,0.1103,0.0825,0.0925,0.7063,0.7067,0.7075,0.7061,0.7098,0.7005,0.7088,0.7134,0.7156,0.6229,0.5525,0.6192,0.6041,0.6764,0.6484,0.6389,0.6251,0.619,8.7737,0.3859,1,0.0674,0.7904,0,0.0702,4.85E-03,5,0.2446,0.6251,0.0234,0.1053,1.31E-05,10,0.3608,0.5388,0.0585,0.1579,2.18E-06,1.5845,0.097,0.7468,0,0.0877,2.04E-03,14.1462,0.4084,0.4847,0.0994,0.2105,2.07E-06,33.668,0.5675,0.2982,0.2982,0.4035,4.27E-07,39.4901,0.6103,0.2565,0.3099,0.4035,2.08E-09,26.661,0.5117,0.3556,0.2339,0.3509,1.84E-06,40.4421,0.6169,0.2501,0.3216,0.4035,7.80E-10,1.5845,0.097,0.7468,0,0.0877,2.04E-03,4.5701,0.2306,0.6352,0.0234,0.1053,2.35E-05
Netta_rufina_5,171,0.4606,0.5901,980,0.7929,57,0.2033,0.6946,0.0315,10171,22.1854,11.4784,0.7889,13.6594,2.9723,10.1108,7.109,25.1537,6.5422,4.8461,31.5585,5.0325,12.4809,3.5388,7.9005,5.6908,24.0722,4.8797,0.4461,0.4292,0.4551,0.4319,0.4403,0.4197,0.4563,0.451,0.4428,0.1177,0.1134,0.0645,0.0761,0.1488,0.0928,0.2053,0.1941,0.1032,0.2031,0.1823,0.1992,0.2442,0.1969,0.2258,0.1927,0.2031,0.2305,0.0643,0.0513,0.0566,0.0555,0.0972,0.0661,0.2358,0.1856,0.0275,0.6969,0.682,0.6918,0.7015,0.6949,0.698,0.6932,0.6916,0.7059,0.6319,0.5801,0.5878,0.6001,0.6297,0.6075,0.6969,0.7044,0.5769,8.7663,0.3818,1,0.06,0.8172,0.0058,0.0175,6.24E-04,5,0.2196,0.6278,0.0468,0.1053,1.53E-05,10,0.3385,0.5331,0.076,0.2105,5.23E-05,0.7575,0.0502,0.8444,0,0.0175,2.01E-03,12.9253,0.3767,0.4915,0.0994,0.2632,1.06E-04,33.0632,0.5695,0.2956,0.2982,0.4737,6.77E-05,22.5304,0.4824,0.3844,0.1754,0.3509,2.00E-05,24.2386,0.4976,0.3684,0.2047,0.3684,1.90E-05,8.1957,0.3074,0.5621,0.0526,0.1404,2.98E-06,2.2633,0.1125,0.7247,0.0058,0.0351,2.45E-05,4.8914,0.2153,0.6306,0.0409,0.1053,1.80E-05
Netta_rufina_6,171,0.411,0.5501,620,0.7846,57,0.365,0.7366,0.0289,10171,14.4783,9.3216,0.2141,15.7454,20.6323,8.8343,17.241,10.5835,2.9496,7.4779,13.2675,6.5926,11.1127,10.9999,7.847,15.7294,20.8717,6.1013,0.3944,0.3775,0.4063,0.381,0.3797,0.3858,0.3985,0.4024,0.4036,0.1004,0.0964,0.0527,0.0894,0.1721,0.0934,0.2079,0.1668,0.0589,0.3738,0.3308,0.3612,0.3906,0.3894,0.3365,0.3495,0.3616,0.3616,0.1203,0.1075,0.0834,-0.0017,0.0209,0.0673,0.2311,0.2288,0.1397,0.7309,0.7198,0.7344,0.7364,0.7451,0.7308,0.7307,0.7343,0.7373,0.6096,0.5634,0.6093,0.5565,0.5913,0.5823,0.6732,0.6451,0.6558,8.8173,0.4032,1,0.0738,0.8288,0,0.0175,1.04E-03,5,0.2328,0.6599,0.0292,0.0351,5.85E-07,10,0.3464,0.5631,0.0585,0.0877,5.32E-08,1.3913,0.094,0.799,0,0.0175,2.74E-04,14.5162,0.4106,0.5003,0.0994,0.1579,1.23E-07,35.828,0.5828,0.2972,0.2982,0.4211,1.63E-06,31.1991,0.5544,0.3338,0.2398,0.386,3.62E-06,30.5828,0.5506,0.3388,0.2398,0.3333,8.48E-08,26.8002,0.5216,0.3715,0.2222,0.2632,5.74E-09,1.3913,0.094,0.799,0,0.0175,2.74E-04,4.8552,0.2291,0.6637,0.0292,0.0351,7.39E-07
Netta_rufina_7,171,0.3789,0.5025,680,0.77,57,0.469,0.7625,0.0257,10171,20.0683,7.8825,3.877,5.6118,5.842,9.5351,9.0143,32.6415,5.5274,5.4131,22.8445,4.1633,10.6583,4.7103,6.165,12.3896,24.9284,8.7275,0.3627,0.3501,0.376,0.3609,0.3552,0.3513,0.3738,0.3714,0.3673,0.1002,0.0945,0.0506,0.0374,0.1217,0.0946,0.1934,0.1903,0.0671,0.4909,0.4356,0.4584,0.4586,0.4532,0.4488,0.4426,0.4401,0.4719,0.1223,0.1161,0.0816,0.146,0.1763,0.0594,0.2711,0.2013,0.1244,0.774,0.755,0.758,0.7585,0.7632,0.7619,0.7582,0.7548,0.7696,0.6309,0.5803,0.6303,0.7013,0.6722,0.5855,0.7067,0.6862,0.6444,8.8489,0.4171,1,0.0768,0.8458,0,0,6.34E-04,5,0.2317,0.6706,0.0468,0.0175,2.73E-07,10,0.3684,0.5757,0.0585,0.0526,6.81E-09,1.1085,0.0822,0.8369,0,0,4.30E-04,12.9981,0.4146,0.5342,0.0994,0.1228,1.04E-07,35.4269,0.5779,0.3149,0.3158,0.3509,2.78E-08,49.2155,0.6648,0.2174,0.3801,0.4035,1.97E-12,33.1489,0.565,0.3333,0.2982,0.3333,4.67E-08,48.2994,0.6588,0.2232,0.3801,0.386,6.86E-13,2.5577,0.1453,0.7526,0.0117,0,7.51E-06,4.4791,0.2133,0.6849,0.0468,0.0175,6.63E-07
Netta_rufina_8,171,0.3724,0.4757,760,0.7714,57,0.4597,0.76,0.0285,10171,19.7869,11.5464,12.5412,8.3302,2.7449,6.2578,0.5525,36.2528,1.9874,18.4959,14.489,8.1888,14.5265,3.1766,5.8259,8.6085,22.319,4.3699,0.3595,0.3431,0.3635,0.3536,0.3648,0.3539,0.3681,0.3649,0.3689,0.1112,0.106,0.0708,0.0415,0.1069,0.0746,0.1832,0.189,0.0736,0.4649,0.416,0.4626,0.4302,0.4098,0.4114,0.4257,0.4531,0.4433,0.087,0.075,0.0272,0.1418,0.191,0.1174,0.2932,0.1682,0.0855,0.763,0.7519,0.7622,0.7591,0.7504,0.7475,0.7531,0.7579,0.7578,0.6408,0.5753,0.6091,0.6688,0.6926,0.6319,0.7244,0.6235,0.641,8.8552,0.4201,1,0.0707,0.8497,0,0,7.48E-04,5,0.2365,0.6659,0.0468,0.0526,3.32E-06,10,0.3694,0.5709,0.0877,0.1228,1.49E-06,1.6197,0.0964,0.7999,0,0,7.97E-05,12.231,0.4052,0.5396,0.0994,0.1404,6.23E-07,37.0622,0.6183,0.3039,0.3041,0.3509,7.28E-09,36.4746,0.6143,0.3081,0.2749,0.3509,1.23E-08,33.0963,0.5915,0.3333,0.269,0.3333,4.67E-08,55.4392,0.7077,0.1873,0.4327,0.386,7.42E-17,2.2818,0.1283,0.7614,0.0058,0,1.19E-05,4.1616,0.2051,0.6892,0.0292,0.0175,8.61E-07
Netta_rufina_9,171,0.4158,0.5375,560,0.7819,57,0.3073,0.7364,0.0308,10171,27.3856,4.4816,0.7903,15.0947,6.7095,7.6035,1.2462,32.8211,3.8675,11.1723,8.5689,2.6217,18.7677,2.6276,7.0888,10.8356,28.5351,9.7823,0.3991,0.3961,0.4142,0.3823,0.4036,0.3898,0.412,0.4037,0.4012,0.1155,0.1101,0.0528,0.0812,0.1463,0.0926,0.2208,0.1978,0.0775,0.3398,0.2365,0.3027,0.3537,0.2691,0.2873,0.2579,0.3124,0.3213,0.0679,0.0608,0.0883,0.0401,0.0901,0.0647,0.1789,0.1727,0.075,0.728,0.7177,0.736,0.7344,0.7267,0.7328,0.7277,0.7355,0.7438,0.6302,0.5965,0.624,0.5828,0.6455,0.6047,0.6473,0.6796,0.6601,8.8118,0.4014,1,0.0727,0.8216,0,0.0351,2.35E-03,5,0.233,0.6472,0.0468,0.0526,1.06E-06,10,0.3568,0.5539,0.076,0.1404,1.71E-06,1.1408,0.0794,0.8099,0,0.0351,1.43E-03,15.2528,0.4343,0.4853,0.0994,0.1754,1.49E-07,34.0419,0.5715,0.3099,0.3099,0.386,3.43E-07,18.9949,0.4708,0.4445,0.1228,0.2281,3.27E-07,31.1254,0.5516,0.3333,0.2982,0.3333,4.67E-08,25.455,0.5177,0.3822,0.2105,0.2456,3.66E-09,2.267,0.1261,0.7403,0.0058,0.0526,1.82E-04,4.515,0.2154,0.6599,0.0409,0.0526,2.31E-06
Netta_rufina (average),171,0.4181,0.55,788,0.7849,57,0.3357,0.7316,0.0293,10171,21.0112,9.6661,2.8102,12.7464,6.5968,7.8244,10.0956,25.3449,3.9044,8.3684,18.4368,4.9316,11.4916,4.8756,8.1417,12.2724,25.5578,5.9241,0.4052,0.386,0.4127,0.3941,0.3985,0.3908,0.41,0.4065,0.4078,0.1102,0.1035,0.0552,0.0733,0.1381,0.0853,0.2099,0.188,0.0757,0.3384,0.3069,0.3333,0.3407,0.3209,0.3151,0.3184,0.3349,0.3381,0.0911,0.0846,0.0773,0.0534,0.1231,0.0887,0.2163,0.1907,0.0947,0.7293,0.722,0.7297,0.729,0.7304,0.7261,0.7276,0.7298,0.7338,0.6206,0.5768,0.6154,0.6015,0.6492,0.6122,0.6731,0.6703,0.6351,8.8096,0.4003,1,0.0707,0.8262,0.0017,0.0228,0.0016,5,0.2313,0.6508,0.0374,0.0596,0,10,0.3519,0.5562,0.0667,0.1228,0,1.1912,0.0801,0.8122,0,0.0263,0.0012,13.663,0.4033,0.5057,0.0994,0.1719,0,35.124,0.5816,0.2994,0.2994,0.3965,0,34.2518,0.5721,0.3116,0.2596,0.3737,0,29.7484,0.5421,0.3429,0.2515,0.3421,0,26.4576,0.4927,0.3975,0.2082,0.2351,0,2.0059,0.1152,0.7587,0.0046,0.0316,0.0005,4.6961,0.2206,0.6588,0.0351,0.0561,0
