Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,alt contribution,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_18 contribution,bio_2 contribution,bio_3 contribution,bio_8 contribution,bio_9 contribution,alt permutation importance,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_18 permutation importance,bio_2 permutation importance,bio_3 permutation importance,bio_8 permutation importance,bio_9 permutation importance,Training gain without alt,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_18,Training gain without bio_2,Training gain without bio_3,Training gain without bio_8,Training gain without bio_9,Training gain with only alt,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_18,Training gain with only bio_2,Training gain with only bio_3,Training gain with only bio_8,Training gain with only bio_9,Test gain without alt,Test gain without bio_1,Test gain without bio_12,Test gain without bio_14,Test gain without bio_15,Test gain without bio_18,Test gain without bio_2,Test gain without bio_3,Test gain without bio_8,Test gain without bio_9,Test gain with only alt,Test gain with only bio_1,Test gain with only bio_12,Test gain with only bio_14,Test gain with only bio_15,Test gain with only bio_18,Test gain with only bio_2,Test gain with only bio_3,Test gain with only bio_8,Test gain with only bio_9,AUC without alt,AUC without bio_1,AUC without bio_12,AUC without bio_14,AUC without bio_15,AUC without bio_18,AUC without bio_2,AUC without bio_3,AUC without bio_8,AUC without bio_9,AUC with only alt,AUC with only bio_1,AUC with only bio_12,AUC with only bio_14,AUC with only bio_15,AUC with only bio_18,AUC with only bio_2,AUC with only bio_3,AUC with only bio_8,AUC with only bio_9,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Nettapus_coromandelianus_0,340,0.5637,0.6864,1020,0.8011,145,0.5093,0.7661,0.0180,10340,30.6339,7.0897,26.8068,2.5625,4.1301,4.0826,2.5930,19.7843,0.0506,2.2665,22.0454,7.6400,14.7384,6.8379,9.0703,10.6396,5.2592,16.5067,1.8033,5.4592,0.4945,0.5563,0.5364,0.5278,0.5445,0.5341,0.5547,0.5330,0.5635,0.5614,0.2524,0.1939,0.1889,0.0012,0.0736,0.0847,0.1487,0.2129,0.1546,0.1712,0.4227,0.5020,0.4792,0.4885,0.5010,0.4906,0.5135,0.4925,0.5057,0.5019,0.1905,0.1627,0.1477,-0.0008,0.0617,0.1023,0.0787,0.2145,0.1536,0.2041,0.7449,0.7625,0.7633,0.7577,0.7716,0.7559,0.7647,0.7631,0.7657,0.7640,0.5935,0.6079,0.6159,0.5078,0.5644,0.6010,0.6039,0.6443,0.6001,0.6614,8.6805,0.3485,1.0000,0.1269,0.7739,0.0000,0.0069,1.392E-10,5.0000,0.2616,0.6725,0.0235,0.0552,1.406E-12,10.0000,0.3139,0.5895,0.0529,0.0966,7.597E-15,1.2499,0.1422,0.7640,0.0000,0.0069,4.109E-11,17.7061,0.3613,0.4832,0.1000,0.1379,3.418E-20,35.2311,0.4611,0.2926,0.2912,0.3172,2.625E-25,26.5922,0.4092,0.3787,0.1647,0.2414,2.036E-21,34.0554,0.4543,0.3035,0.2765,0.3034,3.715E-25,32.7975,0.4459,0.3154,0.2559,0.2828,1.069E-25,1.2499,0.1422,0.7640,0.0000,0.0069,4.109E-11,11.3655,0.3233,0.5692,0.0588,0.0966,2.201E-16
Nettapus_coromandelianus_1,340,0.5152,0.6428,1160,0.7860,145,0.6274,0.7839,0.0169,10340,29.9086,4.5140,29.5434,2.5795,3.4616,4.2101,2.4290,16.9244,0.1942,6.2353,25.3482,3.7912,17.7115,5.8136,7.3742,7.9038,2.8495,15.9621,2.1136,11.1323,0.4329,0.5102,0.4872,0.4937,0.5034,0.4948,0.5110,0.4881,0.5150,0.5081,0.2211,0.1618,0.1643,0.0002,0.0795,0.0874,0.1169,0.1869,0.1479,0.1696,0.5652,0.6181,0.6007,0.5751,0.6085,0.5883,0.6242,0.6029,0.6301,0.6314,0.2849,0.2473,0.1966,-0.0019,0.0468,0.0943,0.1469,0.2830,0.1779,0.2065,0.7704,0.7794,0.7802,0.7591,0.7876,0.7685,0.7809,0.7765,0.7846,0.7840,0.6776,0.6653,0.6314,0.4769,0.5575,0.5898,0.6295,0.6676,0.6169,0.6774,8.7296,0.3664,1.0000,0.1281,0.7796,0.0059,0.0000,7.634E-11,5.0000,0.2697,0.6787,0.0353,0.0276,1.819E-14,10.0000,0.3267,0.5947,0.0618,0.0621,1.901E-17,0.6271,0.0970,0.7983,0.0000,0.0000,7.085E-10,14.0920,0.3564,0.5359,0.1000,0.0828,1.659E-20,36.2660,0.4912,0.2939,0.2941,0.3310,1.81E-23,23.3175,0.4136,0.4225,0.1618,0.1793,1.421E-22,33.9761,0.4765,0.3146,0.2765,0.3172,6.682E-22,26.2241,0.4324,0.3910,0.2147,0.1862,8.766E-26,0.6271,0.0970,0.7983,0.0000,0.0000,7.085E-10,9.7844,0.3245,0.5980,0.0618,0.0621,3.436E-17
Nettapus_coromandelianus_2,340,0.5307,0.6638,1160,0.7963,145,0.5987,0.7632,0.0184,10340,28.6173,6.9888,28.2823,1.4229,2.4048,7.1608,1.3712,15.2112,2.5257,6.0150,18.6726,11.1807,16.8374,5.1585,9.7227,9.6642,1.6766,14.8570,3.1854,9.0448,0.4569,0.5242,0.4984,0.5029,0.5117,0.5000,0.5258,0.4984,0.5303,0.5250,0.2224,0.1940,0.1672,0.0000,0.0572,0.0923,0.1005,0.1857,0.1505,0.1821,0.4879,0.5920,0.5760,0.5532,0.6016,0.5834,0.5996,0.5841,0.5986,0.6005,0.2742,0.1558,0.1991,0.0003,0.0866,0.0834,0.1929,0.2853,0.1629,0.1786,0.7432,0.7612,0.7599,0.7490,0.7695,0.7570,0.7612,0.7604,0.7630,0.7620,0.6417,0.6083,0.6317,0.5120,0.6122,0.5874,0.6588,0.6618,0.6022,0.6559,8.7149,0.3609,1.0000,0.1379,0.7776,0.0029,0.0069,2.176E-10,5.0000,0.2564,0.6773,0.0235,0.0483,7.81E-13,10.0000,0.3106,0.5894,0.0706,0.0966,7.473E-15,0.6021,0.1000,0.7960,0.0000,0.0000,5.461E-10,16.0812,0.3539,0.5007,0.1000,0.1517,2.849E-17,35.5109,0.4890,0.2882,0.2882,0.3655,1.687E-20,26.8878,0.4264,0.3715,0.1882,0.2966,6.526E-17,31.5818,0.4593,0.3242,0.2559,0.3241,7.314E-20,33.8266,0.4767,0.3032,0.2765,0.3310,4.733E-22,1.8171,0.1851,0.7503,0.0029,0.0069,7.143E-12,10.0178,0.3106,0.5892,0.0706,0.0966,7.233E-15
Nettapus_coromandelianus_3,340,0.4999,0.6276,1340,0.7859,145,0.7062,0.7891,0.0176,10340,27.7065,3.2040,31.5465,3.8838,1.4125,6.3722,3.9299,17.8575,0.2682,3.8189,19.0515,12.7362,18.3538,6.7146,5.1663,9.4894,1.3799,15.5042,5.7640,5.8400,0.4271,0.4906,0.4627,0.4715,0.4891,0.4741,0.4934,0.4719,0.4985,0.4947,0.1983,0.1569,0.1615,0.0002,0.0680,0.0906,0.1037,0.1853,0.1462,0.1597,0.5913,0.6984,0.6932,0.6553,0.6741,0.6721,0.7040,0.6881,0.7036,0.6956,0.3443,0.2531,0.1904,0.0016,0.0722,0.0760,0.1864,0.2869,0.1799,0.2242,0.7716,0.7889,0.7922,0.7753,0.7846,0.7761,0.7869,0.7872,0.7889,0.7838,0.7004,0.6882,0.6685,0.5077,0.5827,0.6025,0.6406,0.6426,0.6180,0.6909,8.7453,0.3723,1.0000,0.1350,0.7709,0.0000,0.0000,2.608E-11,5.0000,0.2807,0.6710,0.0382,0.0552,1.125E-12,10.0000,0.3367,0.5895,0.0647,0.0690,3.105E-17,1.4690,0.1662,0.7536,0.0000,0.0138,4.004E-11,14.9527,0.3715,0.5208,0.1000,0.1241,5.712E-18,36.3278,0.5041,0.2941,0.2941,0.2966,1.411E-27,28.1109,0.4569,0.3705,0.2000,0.2414,1.882E-22,36.1828,0.5035,0.2954,0.2941,0.2966,2.343E-27,32.2437,0.4796,0.3307,0.2618,0.2414,3.175E-28,1.4690,0.1662,0.7536,0.0000,0.0138,4.004E-11,8.8120,0.3255,0.6074,0.0618,0.0621,1.827E-16
Nettapus_coromandelianus_4,340,0.5590,0.6769,1300,0.7908,145,0.5056,0.7485,0.0187,10340,29.7193,6.8578,26.0071,2.0152,3.1394,7.5798,2.6378,19.5929,0.0388,2.4118,22.6415,8.5434,13.7477,7.8002,6.5633,12.3568,4.8919,17.7330,1.5466,4.1756,0.4716,0.5471,0.5331,0.5302,0.5486,0.5252,0.5493,0.5248,0.5586,0.5573,0.2408,0.1771,0.1749,0.0004,0.0685,0.1078,0.1342,0.2043,0.1419,0.1762,0.4705,0.5037,0.4573,0.4678,0.4873,0.4975,0.5173,0.5015,0.4984,0.4947,0.2293,0.2147,0.1814,-0.0030,0.0603,0.0380,0.1157,0.2434,0.1899,0.1937,0.7492,0.7469,0.7409,0.7346,0.7449,0.7383,0.7513,0.7446,0.7464,0.7450,0.6602,0.6338,0.6376,0.4640,0.5883,0.5744,0.6128,0.6290,0.6414,0.6583,8.6836,0.3492,1.0000,0.1182,0.7723,0.0000,0.0000,3.124E-11,5.0000,0.2448,0.6626,0.0382,0.0621,1.17E-12,10.0000,0.3096,0.5751,0.0735,0.1241,1.191E-13,1.1049,0.1239,0.7677,0.0000,0.0000,1.749E-11,13.4949,0.3393,0.5245,0.1000,0.1517,2.913E-15,34.0998,0.4708,0.2971,0.2971,0.4000,7.225E-16,30.0025,0.4454,0.3353,0.2324,0.3586,2.926E-15,29.4886,0.4423,0.3403,0.2324,0.3379,1.459E-16,20.2109,0.3849,0.4394,0.1676,0.2069,4.638E-18,1.1049,0.1239,0.7677,0.0000,0.0000,1.749E-11,10.2698,0.3122,0.5711,0.0735,0.1310,2.122E-13
Nettapus_coromandelianus_5,340,0.5267,0.6544,1180,0.7933,145,0.6101,0.7694,0.0175,10340,31.2323,5.7340,28.1811,2.1665,4.7514,3.0481,3.5130,18.9450,0.8498,1.5788,26.1295,5.7786,16.3675,8.2479,8.8659,7.6089,0.9445,16.3686,7.5774,2.1114,0.4387,0.5174,0.4967,0.4923,0.5112,0.5049,0.5194,0.4995,0.5242,0.5254,0.2332,0.1683,0.1772,0.0002,0.0745,0.0750,0.1000,0.1922,0.1412,0.1540,0.5548,0.6024,0.5818,0.5792,0.5895,0.5809,0.6175,0.5919,0.6089,0.6034,0.2563,0.2382,0.1747,0.0015,0.0593,0.1223,0.1962,0.2675,0.1897,0.2401,0.7719,0.7726,0.7719,0.7636,0.7738,0.7584,0.7696,0.7796,0.7689,0.7657,0.6789,0.6815,0.6096,0.5135,0.5759,0.6263,0.6297,0.6656,0.6460,0.6955,8.7178,0.3628,1.0000,0.1339,0.7770,0.0029,0.0069,2.029E-10,5.0000,0.2829,0.6838,0.0382,0.0207,9.774E-15,10.0000,0.3318,0.6044,0.0618,0.0828,6.646E-15,0.9219,0.1260,0.7804,0.0000,0.0069,3.053E-10,13.0881,0.3501,0.5607,0.1000,0.0828,2.578E-18,37.5671,0.4732,0.2863,0.2853,0.3586,1.538E-21,33.8708,0.4545,0.3214,0.2353,0.3310,1.586E-19,33.5840,0.4528,0.3242,0.2353,0.3241,7.314E-20,20.7535,0.3912,0.4627,0.1441,0.1517,6.235E-21,0.9219,0.1260,0.7804,0.0000,0.0069,3.053E-10,10.9382,0.3371,0.5909,0.0794,0.0828,6.62E-16
Nettapus_coromandelianus_6,340,0.5419,0.6731,1220,0.8000,145,0.5510,0.7672,0.0178,10340,31.4125,7.5926,29.2583,3.2746,1.4566,5.6314,2.1494,14.6196,0.0553,4.5496,19.4769,13.9184,17.6296,7.1378,5.8894,8.4362,2.4185,15.2218,2.6472,7.2242,0.4702,0.5304,0.5028,0.5127,0.5318,0.5144,0.5371,0.5145,0.5414,0.5369,0.2335,0.1930,0.1824,0.0032,0.0559,0.0889,0.1171,0.1955,0.1503,0.1700,0.4652,0.5602,0.5596,0.5192,0.5431,0.5141,0.5442,0.5273,0.5508,0.5442,0.2388,0.1688,0.1625,-0.0061,0.0933,0.0914,0.1536,0.2572,0.1674,0.2024,0.7452,0.7718,0.7728,0.7507,0.7659,0.7500,0.7658,0.7629,0.7668,0.7653,0.6434,0.6102,0.6057,0.4859,0.6199,0.5940,0.6368,0.6431,0.6014,0.6514,8.7032,0.3575,1.0000,0.1335,0.7751,0.0000,0.0069,1.623E-10,5.0000,0.2706,0.6775,0.0265,0.0207,3.754E-15,10.0000,0.3158,0.5941,0.0559,0.0828,1.151E-15,1.3293,0.1542,0.7629,0.0000,0.0138,1.281E-10,17.4562,0.3622,0.4895,0.1000,0.1655,4.74E-17,35.8435,0.4771,0.2891,0.2882,0.3379,1.926E-23,26.9329,0.4169,0.3773,0.1647,0.2483,6.855E-21,33.5410,0.4612,0.3103,0.2441,0.3103,2.734E-23,32.0378,0.4485,0.3248,0.2235,0.2690,7.554E-26,1.3293,0.1542,0.7629,0.0000,0.0138,1.281E-10,10.7702,0.3217,0.5824,0.0647,0.1172,1.118E-13
Nettapus_coromandelianus_7,340,0.5381,0.6476,860,0.7855,145,0.5695,0.7700,0.0178,10340,27.6434,7.5496,27.4989,3.0602,1.8439,4.0171,1.9226,22.7648,0.3647,3.3349,26.3322,3.7833,17.4981,5.9452,6.0862,8.6407,2.9731,19.0423,2.5764,7.1226,0.4646,0.5221,0.5104,0.5184,0.5253,0.5187,0.5324,0.5070,0.5373,0.5352,0.2271,0.1861,0.1820,0.0000,0.0627,0.0923,0.1261,0.2154,0.1488,0.1700,0.4843,0.5844,0.5328,0.5146,0.5440,0.5213,0.5589,0.5605,0.5631,0.5610,0.2752,0.1918,0.1642,0.0000,0.0803,0.0850,0.1387,0.2104,0.1746,0.2018,0.7639,0.7730,0.7633,0.7550,0.7678,0.7505,0.7693,0.7726,0.7686,0.7689,0.6702,0.6400,0.6141,0.5000,0.5923,0.6024,0.6236,0.6239,0.6405,0.6660,8.7064,0.3581,1.0000,0.1277,0.7744,0.0000,0.0069,1.477E-10,5.0000,0.2677,0.6730,0.0235,0.0345,2.998E-14,10.0000,0.3276,0.5911,0.0794,0.0759,1.716E-16,1.7996,0.1732,0.7462,0.0000,0.0069,4.207E-12,14.2871,0.3592,0.5317,0.1000,0.1448,2.964E-15,35.4787,0.4682,0.2975,0.2971,0.3103,2.58E-25,26.2525,0.4188,0.3900,0.1882,0.2345,9.336E-21,34.1067,0.4599,0.3103,0.2853,0.3103,2.734E-23,39.7894,0.4993,0.2593,0.3500,0.3310,1.072E-29,1.7996,0.1732,0.7462,0.0000,0.0069,4.207E-12,10.4752,0.3321,0.5842,0.0794,0.0897,8.088E-16
Nettapus_coromandelianus_8,340,0.4960,0.6265,980,0.7867,145,0.6976,0.7896,0.0164,10340,26.3453,5.3330,30.7004,3.5209,1.6274,6.9052,2.2680,14.2887,1.0073,8.0038,24.4447,2.1042,16.0859,7.7280,8.7235,9.2295,4.1525,11.0101,8.0597,8.4619,0.4304,0.4900,0.4658,0.4683,0.4780,0.4693,0.4876,0.4786,0.4947,0.4918,0.2010,0.1688,0.1640,0.0002,0.0589,0.0932,0.1163,0.1785,0.1549,0.1676,0.5750,0.6844,0.6700,0.6520,0.6909,0.6726,0.6982,0.6469,0.6963,0.7022,0.3308,0.2364,0.2036,0.0012,0.0934,0.0819,0.1582,0.3059,0.1597,0.2056,0.7654,0.7843,0.7780,0.7735,0.7929,0.7807,0.7931,0.7780,0.7885,0.7908,0.7081,0.6769,0.6220,0.5145,0.6028,0.5852,0.6151,0.6677,0.5912,0.6602,8.7478,0.3730,1.0000,0.1439,0.7784,0.0000,0.0000,6.624E-11,5.0000,0.2755,0.6817,0.0412,0.0069,4.156E-16,10.0000,0.3284,0.5972,0.0824,0.0483,1.599E-18,1.6473,0.1868,0.7567,0.0000,0.0000,4.291E-12,13.6580,0.3561,0.5439,0.1000,0.0759,1.916E-20,35.9386,0.4873,0.2971,0.2971,0.3241,9.272E-24,28.3706,0.4483,0.3703,0.2029,0.2483,9.424E-22,34.5027,0.4793,0.3103,0.2735,0.3103,2.734E-23,23.2592,0.4192,0.4250,0.1529,0.1517,3.116E-25,1.6473,0.1868,0.7567,0.0000,0.0000,4.291E-12,9.2495,0.3210,0.6089,0.0765,0.0414,3.078E-18
Nettapus_coromandelianus_9,340,0.5415,0.6597,980,0.7917,145,0.5447,0.7699,0.0191,10340,30.3440,3.8689,26.4389,2.1824,1.1938,5.9170,4.7005,21.4088,0.8516,3.0941,24.5901,3.4998,14.0563,7.5642,7.0049,12.6474,4.1594,16.9456,2.7521,6.7802,0.4646,0.5367,0.5231,0.5126,0.5314,0.5052,0.5328,0.5111,0.5410,0.5388,0.2337,0.1671,0.1758,0.0033,0.0671,0.1008,0.1480,0.2198,0.1673,0.1616,0.4595,0.5417,0.4901,0.5016,0.5212,0.5456,0.5520,0.5393,0.5436,0.5368,0.2488,0.2235,0.1805,-0.0073,0.0719,0.0500,0.0799,0.1993,0.1295,0.2172,0.7578,0.7699,0.7587,0.7514,0.7638,0.7672,0.7713,0.7718,0.7707,0.7683,0.6355,0.6569,0.6183,0.4860,0.5780,0.5971,0.6000,0.6281,0.6069,0.6793,8.7027,0.3571,1.0000,0.1261,0.7731,0.0029,0.0138,4.486E-10,5.0000,0.2535,0.6689,0.0265,0.0828,1.041E-10,10.0000,0.3211,0.5833,0.0588,0.1103,3.625E-14,0.7730,0.1094,0.7836,0.0000,0.0069,4.475E-10,15.0108,0.3658,0.5144,0.1000,0.1724,2.254E-14,36.0617,0.4847,0.2917,0.2912,0.3034,3.851E-27,25.5191,0.4268,0.3931,0.1706,0.2345,2.149E-20,35.5141,0.4808,0.2965,0.2824,0.2966,3.728E-27,40.4327,0.5161,0.2549,0.3353,0.3103,1.552E-33,0.7730,0.1094,0.7836,0.0000,0.0069,4.475E-10,10.0840,0.3220,0.5820,0.0588,0.1103,2.939E-14
Nettapus_coromandelianus (average),340.0000,0.5313,0.6559,1120.0000,0.7917,145.0000,0.5920,0.7717,0.0178,10340.0000,29.3563,5.8732,28.4264,2.6668,2.5422,5.4924,2.7514,18.1397,0.6206,4.1309,22.8733,7.2976,16.3026,6.8948,7.4467,9.6616,3.0705,15.9151,3.8026,6.7352,0.4551,0.5225,0.5017,0.5030,0.5175,0.5041,0.5243,0.5027,0.5304,0.5275,0.2263,0.1767,0.1738,0.0009,0.0666,0.0913,0.1211,0.1976,0.1504,0.1682,0.5076,0.5887,0.5641,0.5506,0.5761,0.5666,0.5929,0.5735,0.5899,0.5872,0.2673,0.2092,0.1801,-0.0015,0.0726,0.0825,0.1447,0.2553,0.1685,0.2074,0.7583,0.7711,0.7681,0.7570,0.7722,0.7603,0.7714,0.7697,0.7712,0.7698,0.6610,0.6469,0.6255,0.4968,0.5874,0.5960,0.6251,0.6474,0.6165,0.6696,8.7132,0.3606,1.0000,0.1311,0.7752,0.0015,0.0048,0.0000,5.0000,0.2663,0.6747,0.0315,0.0414,0.0000,10.0000,0.3222,0.5908,0.0662,0.0848,0.0000,1.1524,0.1379,0.7709,0.0000,0.0055,0.0000,14.9827,0.3576,0.5205,0.1000,0.1290,0.0000,35.8325,0.4807,0.2928,0.2924,0.3345,0.0000,27.5857,0.4317,0.3731,0.1909,0.2614,0.0000,33.6533,0.4670,0.3130,0.2656,0.3131,0.0000,30.1575,0.4494,0.3506,0.2382,0.2462,0.0000,1.2739,0.1464,0.7664,0.0003,0.0062,0.0000,10.1767,0.3230,0.5883,0.0685,0.0890,0.0000
